단지명,전용면적(㎡),층,건축년도,도로명,면적당 단가(만원),아파트 나이,계약일자,alpha,경도,위도
창신쌍용1,79.87,6,1992,동망산길 19,6.761461470650099,28,2020-07-11,0.38885933427764935,127.014194906011,37.5800313416279
왕십리자이,59.99,3,2017,난계로 100,7.418747583305227,3,2020-07-11,1.0,127.024651500492,37.5615293048656
신원지벤스타4,191.28,1,2005,명지길 58,6.02346480829909,15,2020-07-11,0.792481250360578,126.929100099353,37.5806080819978
마곡우림1차아파트,59.901,10,2003,양천로24길 34,6.818752273463237,17,2020-07-11,0.43333333333333335,126.814866252454,37.5719068327902
학여울청구,59.4,12,1999,동일로207길 186,6.8216617542827365,21,2020-07-11,1.0,127.059802173858,37.6379556162713
마곡서광(치현마을),84.93,2,1998,양천로27길 129,6.33712890209811,22,2020-07-11,1.0,126.819495862178,37.5789278756723
마곡우림필유아파트,84.528,7,2003,양천로28길 29,6.758388393762817,17,2020-07-11,1.0,126.821039967906,37.5721418718218
벽산,59.98,17,1999,양천로47길 118,6.9064206107826775,21,2020-07-11,1.0,126.83685352275,37.5756401883806
홍제삼성래미안,60.0,11,2001,통일로 319,7.061905958809396,19,2020-07-11,1.0,126.951950212766,37.5781824961904
벽산,84.97,10,1999,양천로47길 118,6.655111767993112,21,2020-07-11,1.0,126.83685352275,37.5756401883806
문래두산위브,79.86,14,1988,선유로9나길 8,6.844968290883372,32,2020-07-11,0.0,126.886298476898,37.5171461442938
신내11대명,49.77,5,1996,봉화산로 193,6.773103824206313,24,2020-07-11,1.0,127.094457238177,37.6068322383951
무학,59.38,9,1999,양천로77길 45,6.9951034130047525,21,2020-07-11,1.0,126.876650179692,37.5510149773126
이촌코오롱(A),59.82,18,1999,이촌로87길 21,7.683949676235917,21,2020-07-11,1.0,126.978638484584,37.5203009135294
이촌동삼성리버스위트,137.37,2,2002,이촌로88길 30,7.332184794362492,18,2020-07-11,1.0,126.975899020674,37.516879547214
주공5,37.67,10,1995,공항대로39길 74,7.249183170830309,25,2020-07-11,1.0,126.844635678969,37.5612172907678
대림,89.975,1,1995,공항대로39길 100,6.814942672281296,25,2020-07-11,1.0,126.847393103837,37.5636169050906
롯데캐슬,105.53,15,2003,사당로27길 190,6.930891233423358,17,2020-07-11,0.8666666666666667,126.971587397179,37.490957111073
사당롯데캐슬2차,84.766,11,2004,사당로27길 181,7.062980610114391,16,2020-07-11,1.0,126.971626109522,37.4905514867955
이수역리가,84.847,11,2013,사당로27길 130,7.29521938174075,7,2020-07-11,1.0,126.972880828734,37.4898294436805
장안현대홈타운(336),58.42,2,2003,장안벚꽃로 107,7.059604687198649,17,2020-07-11,1.0,127.075113657819,37.5710568281709
라이프씨티,59.78,4,1992,갈현로3다길 15,6.218281503788501,28,2020-07-11,0.18715699480384024,126.905204717654,37.6026295707916
주공5,58.14,14,1995,공항대로39길 74,7.086228136422154,25,2020-07-11,1.0,126.844635678969,37.5612172907678
e편한세상염창,84.6352,10,2019,공항대로 583,7.321435287174929,1,2020-07-11,1.0,126.870242587286,37.5485922640411
예향,84.67,3,2001,망원로2길 14,6.4579779778922255,19,2020-07-11,0.3666666666666667,126.900347770361,37.5557356972192
래미안로이파크,84.98,7,2018,사당로23길 4,7.440001977932909,2,2020-07-11,1.0,,
은평뉴타운솔하임,45.034,10,2017,통일로 1080,7.008352502975276,3,2020-07-11,1.0,126.917530394384,37.6392342317325
주공2,44.52,12,1992,초안산로1길 18,6.7494029123011785,28,2020-07-11,0.5046570405553964,127.051603822219,37.6291554160494
현대,59.96,3,1991,사당로17길 111,6.996127748388946,29,2020-07-11,0.1830617698776558,126.970665952811,37.4877461448563
상도더샵2차,84.98,4,2014,장승배기로10길 100,7.147470571419691,6,2020-07-11,1.0,126.943452576133,37.5028684818551
상도더샵2차,84.97,7,2014,장승배기로10길 100,7.161381575223243,6,2020-07-11,1.0,126.943452576133,37.5028684818551
삼성래미안,60.739,10,2003,사당로23바길 9,7.295407908396281,17,2020-07-11,1.0,126.969190174402,37.4896096841076
상계주공5(저층),31.98,2,1987,동일로216길 47,7.617031841471966,33,2020-07-11,0.0,127.063558586941,37.6529887282798
장안힐스테이트,59.928,14,2007,장안벚꽃로1길 7,7.132099550872866,13,2020-07-11,1.0,127.074572635161,37.5763379008361
장안힐스테이트,84.789,8,2007,장안벚꽃로1길 7,6.967399131909652,13,2020-07-11,1.0,127.074572635161,37.5763379008361
태솔에버빌,49.88,3,2013,장한로28가길 91,6.463871060970027,7,2020-07-11,1.0,127.072736784257,37.5771460667803
