단지명,전용면적(㎡),층,건축년도,도로명,면적당 단가(만원),아파트 나이,계약일자,alpha
마곡13단지힐스테이트마스터,84.9805,6,2017,마곡중앙1로 71,1435.6234665599754,3,2020-07-11,1.0
현대2차,80.92,10,1990,선유동2로 29,1085.0222441917942,30,2020-07-11,0.0
삼성래미안,78.665,21,2004,디지털로31길 90,1016.9706985317484,16,2020-07-11,1.0
공릉동한보에센시티아파트,59.4,15,2000,공릉로46길 19,816.4983164983165,20,2020-07-11,1.0
등촌5차보람쉬움,84.97,1,2004,공항대로61길 43,812.0513122278452,16,2020-07-11,0.9333333333333333
이편한세상보문,84.904,7,2013,낙산길 255,1057.665127673608,7,2020-07-11,1.0
현대2,79.79,1,1988,풍성로65길 34,1052.763504198521,32,2020-07-11,0.0
경남,59.96,6,1999,영등포로 351,1200.800533689126,21,2020-07-11,1.0
이수힐스테이트,84.982,3,2013,동작대로39길 22,1706.2436751312043,7,2020-07-11,1.0
현대,84.99,15,2001,개봉로20길 6,920.10824802918,19,2020-07-11,1.0
상계주공7(고층),41.3,10,1988,동일로 1456,1363.1961259079903,32,2020-07-11,0.0
현대,84.81,11,1994,용마산로 252,784.1056479188775,26,2020-07-11,0.8453133337179497
개봉동현대아이파크,59.99,18,2006,개봉로2길 133-15,1195.1991998666444,14,2020-07-11,1.0
강동역두산위브센티움,59.96,9,2004,성안로 155,1047.36490993996,16,2020-07-11,1.0
해태,84.65,7,2000,방화대로 259,756.0543414057885,20,2020-07-11,1.0
행당한진타운,59.96,21,2000,행당로 82,1559.3729152768512,20,2020-07-11,1.0
롯데캐슬파크,58.491,9,2003,성수일로8길 47,1863.534560872613,17,2020-07-11,1.0
코오롱아파트,84.95,4,1991,오금로31길 28,1353.737492642731,29,2020-07-11,0.2399890781612121
현대슈퍼빌,185.02,12,2003,서초중앙로 15,1124.2027888876878,17,2020-07-11,1.0
남산타운,84.88,18,2002,다산로 32,1449.1046182846371,18,2020-07-11,1.0
래미안송파파인탑,64.99,15,2012,오금로32길 31,2092.6296353285124,8,2020-07-11,1.0
가락삼익맨숀,108.338,11,1984,오금로32길 5,1430.7076002879876,36,2020-07-11,0.0
광남캐스빌3,83.19,2,2004,성내로6가길 98,717.634331049405,16,2020-07-11,0.4666666666666667
용마산하늘채,84.6147,11,2015,용마산로 210,1240.9191310729695,5,2020-07-11,1.0
유한수목원,74.61,6,2008,경인로2길 51,469.106017960059,12,2020-07-11,1.0
다성이즈빌(121-32),44.24,5,2017,성안로 195,829.5660036166365,3,2020-07-11,0.9
다성이즈빌(121-32),63.93,6,2017,성안로 195,782.105427811669,3,2020-07-11,0.9
한숲마을대림,59.94,9,1999,방화대로50길 7,832.4991658324992,21,2020-07-11,1.0
LIG건영캐스빌,55.6724,17,2002,우이천로20길 7,844.224427184745,18,2020-07-11,1.0
한숲마을대림,59.69,11,1999,방화대로50길 7,861.1157647847211,21,2020-07-11,1.0
방화그린,49.77,4,1993,방화대로48길 40,823.7894313843681,27,2020-07-11,0.6768184324776925
길음뉴타운8단지(래미안),59.99,10,2010,길음로 33,1550.258376396066,10,2020-07-11,1.0
신성미소지움,80.1913,12,2004,용마산로86길 9-27,741.9757504866488,16,2020-07-11,1.0
방화그린,39.76,6,1993,방화대로48길 40,829.979879275654,27,2020-07-11,0.7592457037268079
방화그린,33.6,2,1993,방화대로48길 40,848.2142857142857,27,2020-07-11,0.6906890595608517
은평뉴타운 제각말 푸르지오(5-1단지),101.83,6,2010,연서로48길 12,795.4433860355495,10,2020-07-11,1.0
청솔,49.2,1,1994,방화대로47길 55,802.8455284552845,26,2020-07-11,0.8500052575129231
리베르떼-빌(LibertVille),242.39,-1,2002,연희로10길 43-16,404.30710837905855,18,2020-07-11,0.6339850002884625
롯데,84.99,12,2003,동호로 84,1223.67337333804,17,2020-07-11,1.0
성원,84.95,6,2001,연희로32길 48,859.329017068864,19,2020-07-11,1.0
홍은미성,127.33,9,1985,연희로41길 114,502.6309589256263,35,2020-07-11,0.0
우성2,84.47,1,1986,대방천로 180,1160.1752101337754,34,2020-07-11,0.0
연희자이엘라,13.642,13,2014,연희로5길 14,1231.4909837267264,6,2020-07-11,1.0
마젤란,95.52,2,2008,경인로47길 128,732.8308207705193,12,2020-07-11,1.0
다성이즈빌아파트(388-4),84.01,12,2004,천중로44길 74,770.1464111415307,16,2020-07-11,1.0
센트라스,115.99,12,2016,왕십리로 410,1577.7222174325373,4,2020-07-11,1.0
센트라스,84.96,6,2016,왕십리로 410,1818.502824858757,4,2020-07-11,1.0
왕십리KCC스위첸,68.733,10,2016,무학봉길 35,1454.9052129253778,4,2020-07-11,1.0
래미안 개포 루체하임,84.97,6,2018,개포로110길 50,2753.9131458161705,2,2020-07-11,1.0
성원,84.98,17,1998,동일로 459,682.5135325959048,22,2020-07-11,1.0
래미안위브,121.94,2,2014,답십리로 130,1066.0980810234541,6,2020-07-11,1.0
홍제원현대(459-0),59.93,12,2000,통일로34길 43,1168.0293675955281,20,2020-07-11,1.0
동서울한양,59.67,9,1989,답십리로 184,888.2185352773588,31,2020-07-11,0.0
방주아크빌,76.57,8,2002,오목로7길 35,566.8016194331984,18,2020-07-11,1.0
한진(609-1),84.87,5,1998,성북로4길 52,797.6905856015081,22,2020-07-11,1.0
잠실올림픽공원아이파크,59.93,16,2019,올림픽로43길 34,2461.204738862006,1,2020-07-11,1.0
방배자이,164.96,8,2003,방배로18길 67,1129.9709020368573,17,2020-07-11,1.0
한진(609-1),59.58,15,1998,성북로4길 52,939.9127223900638,22,2020-07-11,1.0
꿈의숲푸르지오,59.65,7,2010,오패산로16가길 40,1089.6898575020955,10,2020-07-11,1.0
문정래미안,120.97,3,2004,문정로 83,1058.113581879805,16,2020-07-11,1.0
문정래미안,170.7,2,2004,문정로 83,878.7346221441126,16,2020-07-11,1.0
경희궁자이(3단지),77.654,15,2017,경교장길 35,2060.4218713781647,3,2020-07-11,0.9
한양,84.79,12,1992,미성5길 33,613.2798679089515,28,2020-07-11,0.3682374637371341
신송타워,59.97,7,1997,화곡로63길 93,683.6751709187928,23,2020-07-11,0.8364912501682695
서초래미안,84.95,1,2003,서초대로65길 13-10,2148.32254267216,17,2020-07-11,1.0
홍제원현대(459-0),114.72,7,2000,통일로34길 43,862.9707112970711,20,2020-07-11,1.0
영풍마드레빌,84.741,13,2002,경인로8길 64,743.4417814281163,18,2020-07-11,1.0
중앙하이츠,59.52,5,1998,올림픽로98가길 47,924.0591397849462,22,2020-07-11,1.0
한신트리플,39.31,4,2004,방배로33길 29,1004.833375731366,16,2020-07-11,1.0
청계푸르지오시티,30.42,19,2015,천호대로 257,1134.1222879684417,5,2020-07-11,1.0
방배1차현대홈타운,84.96,4,1999,서초대로1길 30,1942.090395480226,21,2020-07-11,1.0
