단지명,전용면적(㎡),층,건축년도,도로명,면적당 단가(만원),아파트 나이,구,계약일자,계약년월,alpha,경도,위도
현대아파트(75-1),159.08,6,1983,학동로87길 7,6.743622837081077,29,강남구,2012-07-18,201207,0.033333333333333326,127.052002765471,37.5195282476159
한양5,115.24,5,1979,압구정로 401,7.200155464287517,33,강남구,2012-07-18,201207,0.0,127.04210755937,37.529387893826
"현대5차(71,72동)",82.23,4,1977,압구정로29길 68,7.234433528393828,35,강남구,2012-07-19,201207,0.0,127.029186511113,37.5325363787069
개포주공6단지,73.02,12,1983,개포로 516,6.783687126556373,29,강남구,2012-07-19,201207,0.033333333333333326,127.070871480537,37.4891406792843
청담2차이-편한세상(205동),84.77,2,2006,도산대로78길 51,6.701920076959082,6,강남구,2012-07-19,201207,0.8,127.046196893999,37.5207560251981
신현대12차,155.52,4,1982,압구정로 151,7.008475415083461,30,강남구,2012-07-19,201207,0.0,127.024454982256,37.5267858196588
래미안신사,84.89,9,2008,압구정로2길 20,6.96063760351307,4,강남구,2012-07-19,201207,0.8666666666666667,127.019620204079,37.5201049771688
푸른솔아파트1동,59.4,13,1996,학동로 420,6.578830247996307,16,강남구,2012-07-19,201207,0.4666666666666667,127.046054815285,37.517813134256
삼성동신도브래뉴,120.809,8,2010,삼성로103길 12,6.592017025887532,2,강남구,2012-07-20,201207,0.9333333333333333,127.053410791714,37.5103690964957
삼성동신도브래뉴,104.165,5,2010,삼성로103길 12,6.542603227766511,2,강남구,2012-07-20,201207,0.9333333333333333,127.053410791714,37.5103690964957
역삼래미안,59.53,3,2005,선릉로69길 19,6.915619454038939,7,강남구,2012-07-20,201207,0.7666666666666666,127.050691041401,37.4981263526043
삼성동신도브래뉴,124.038,6,2010,삼성로103길 12,6.522734710312813,2,강남구,2012-07-20,201207,0.9333333333333333,127.053410791714,37.5103690964957
청담자이,89.356,34,2011,영동대로138길 12,7.484031090200691,1,강남구,2012-07-20,201207,0.9666666666666667,127.057249781197,37.5241014728573
상록수,74.54,1,1993,광평로10길 15,6.739554111322557,19,강남구,2012-07-21,201207,0.3666666666666667,127.083445404216,37.482899384108
한스빌(836),39.89,5,1996,도곡로3길 26,6.432473266235758,16,강남구,2012-07-23,201207,0.4666666666666667,127.032955994209,37.4919829893777
까치마을,39.6,12,1993,광평로19길 10,6.798458857203072,19,강남구,2012-07-23,201207,0.3666666666666667,127.086601738647,37.485485349127
역삼푸르지오,84.9097,5,2006,언주로 332,6.9604055654106665,6,강남구,2012-07-23,201207,0.8,127.047395413884,37.4982223264358
미성2차,140.9,10,1987,압구정로 113,6.936438602498077,25,강남구,2012-07-23,201207,0.16666666666666663,127.018445606778,37.5244043008813
미성2차,74.4,11,1987,압구정로 113,6.980325971816972,25,강남구,2012-07-23,201207,0.16666666666666663,127.018445606778,37.5244043008813
서광아파트,84.93,6,1998,선릉로130길 19,6.749514453050848,14,강남구,2012-07-23,201207,0.5333333333333333,127.042937103599,37.5170321477204
수서한아름,129.45,11,1993,광평로51길 22,6.527463124798475,19,강남구,2012-07-23,201207,0.3666666666666667,127.103957177072,37.4902172303572
동부센트레빌,161.47,7,2005,선릉로 206,7.217063458440969,7,강남구,2012-07-23,201207,0.7666666666666666,127.055641674701,37.4914644228405
강남상가,79.47,9,1974,압구정로2길 46,6.02888324849653,38,강남구,2012-07-23,201207,0.0,127.020691646267,37.5187672551656
성원대치2단지아파트,39.53,6,1992,개포로109길 9,6.786043463162956,20,강남구,2012-07-24,201207,0.33333333333333337,127.075101271591,37.4957518185981
청담범신칼릭스빌2차,102.69,2,2007,도산대로89길 35,6.939479631884001,5,강남구,2012-07-24,201207,0.8333333333333334,127.051774865532,37.5267817781744
역삼래미안,59.4,13,2005,선릉로69길 19,6.990126276415265,7,강남구,2012-07-24,201207,0.7666666666666666,127.050691041401,37.4981263526043
개포주공1단지,58.08,3,1982,개포로 310,7.300281204719104,30,강남구,2012-07-24,201207,0.0,127.057847776427,37.4802867173431
개포주공4단지,41.99,5,1983,삼성로 14,7.195675475021185,29,강남구,2012-07-24,201207,0.033333333333333326,127.068451024326,37.4861548149371
은마,84.43,12,1980,삼성로 212,6.943471283664297,32,강남구,2012-07-25,201207,0.0,127.065915414443,37.4996157705058
푸른마을아파트101동~111동,84.93,13,1994,일원로14길 25,6.56027245341232,18,강남구,2012-07-25,201207,0.4,127.080874756987,37.484761123247
대우디오빌,25.89,5,2004,강남대로 256,6.669433386068861,8,강남구,2012-07-26,201207,0.7333333333333334,127.033537582361,37.4864868587499
"쌍용대치아파트1동,2동,3동,5동,6동",83.56,11,1983,영동대로 210,6.848468619999514,29,강남구,2012-07-26,201207,0.033333333333333326,127.071367051995,37.4988556676427
도곡렉슬,120.8233,18,2006,선릉로 221,6.900917874067876,6,강남구,2012-07-26,201207,0.8,127.049734781209,37.4942068396456
역삼푸르지오,59.8848,11,2006,언주로 332,6.901308874874319,6,강남구,2012-07-26,201207,0.8,127.047395413884,37.4982223264358
수서,59.96,11,1992,양재대로55길 12,6.482754352544157,20,강남구,2012-07-26,201207,0.33333333333333337,127.089707610517,37.4936295805412
한양1차(영동한양),63.87,5,1977,압구정로 321,7.132932146082521,35,강남구,2012-07-26,201207,0.0,127.038376464689,37.5295119716843
진넥스빌2,30.53,7,2003,언주로86길 7,6.459459937805051,9,강남구,2012-07-26,201207,0.7,127.043959880694,37.5017761414894
신동아(22),84.52,3,1997,강남대로146길 28,6.593051017145624,15,강남구,2012-07-26,201207,0.5,127.023030453954,37.5150254952533
조이너스,84.97,6,2006,역삼로19길 12,6.367429695541332,6,강남구,2012-07-26,201207,0.8,127.037350197843,37.4958652022719
채널리저브,84.97,15,2007,삼성로 517,6.699563530563947,5,강남구,2012-07-27,201207,0.8333333333333334,127.055223583203,37.5079854660981
청담그랑빌,95.41,6,2004,학동로77길 5,6.110771999911945,8,강남구,2012-07-28,201207,0.7333333333333334,127.049033095957,37.519079286542
신현대12차,108.31,11,1982,압구정로 151,6.958956241528987,30,강남구,2012-07-28,201207,0.0,127.024454982256,37.5267858196588
신현대12차,121.18,8,1982,압구정로 151,6.930759801070331,30,강남구,2012-07-28,201207,0.0,127.024454982256,37.5267858196588
개포주공4단지,50.67,4,1982,삼성로 14,7.187113878885285,30,강남구,2012-07-28,201207,0.0,127.068451024326,37.4861548149371
경남,59.76,13,2005,논현로 209,6.7590005458272655,7,강남구,2012-07-28,201207,1.0,127.041198352091,37.4891441210876
현대3차(61~64동),82.5,7,1976,압구정로29길 57,7.022165630159881,36,강남구,2012-07-30,201207,0.0,127.026936731619,37.5312337952168
"현대7차(73~77,82,85동)",144.2,3,1979,압구정로 201,7.042499528031869,33,강남구,2012-07-30,201207,0.0,127.029273123095,37.5315341736395
청담건영,84.595,4,1994,도산대로89길 49,6.674572735162344,18,강남구,2012-07-30,201207,0.6339850002884625,127.052262895257,37.5275736339667
삼익대청아파트,51.12,8,1992,개포로109길 21,6.746340407007496,20,강남구,2012-07-31,201207,0.33333333333333337,127.077191033018,37.4956264931259
"현대6차(78~81,83,84,86,87동)",157.36,8,1978,압구정로 201,7.14753647144937,34,강남구,2012-07-31,201207,0.0,127.029273123095,37.5315341736395
삼성동롯데아파트,84.87,8,2000,학동로 432,6.784122718536862,12,강남구,2012-07-31,201207,0.6,127.048697131099,37.5182040108372
